DATE,CS_INDEX
1987-01-01,63.96300000000000
1987-02-01,64.42200000000000
1987-03-01,64.73399999999999
1987-04-01,65.12899999999999
1987-05-01,65.56200000000000
1987-06-01,66.06999999999999
1987-07-01,66.50600000000000
1987-08-01,66.93700000000000
1987-09-01,67.33000000000000
1987-10-01,67.73699999999999
1987-11-01,68.10500000000000
1987-12-01,68.50399999999999
1988-01-01,68.85600000000001
1988-02-01,69.26100000000001
1988-03-01,69.63700000000000
1988-04-01,69.97399999999999
1988-05-01,70.42500000000000
1988-06-01,70.88800000000001
1988-07-01,71.35400000000000
1988-08-01,71.79899999999999
1988-09-01,72.23999999999999
1988-10-01,72.63500000000001
1988-11-01,73.07100000000000
1988-12-01,73.46400000000000
1989-01-01,73.94600000000000
1989-02-01,74.38200000000001
1989-03-01,74.77800000000001
1989-04-01,75.08400000000000
1989-05-01,75.30500000000001
1989-06-01,75.47800000000001
1989-07-01,75.65500000000000
1989-08-01,75.83300000000000
1989-09-01,76.05500000000001
1989-10-01,76.28200000000000
1989-11-01,76.52000000000000
1989-12-01,76.70500000000000
1990-01-01,76.89699999999999
1990-02-01,77.05300000000000
1990-03-01,77.20100000000001
1990-04-01,77.27700000000000
1990-05-01,77.29700000000000
1990-06-01,77.25800000000000
1990-07-01,77.13900000000000
1990-08-01,77.00900000000000
1990-09-01,76.84899999999999
1990-10-01,76.69900000000000
1990-11-01,76.37000000000000
1990-12-01,76.18400000000000
1991-01-01,75.91500000000001
1991-02-01,75.73399999999999
1991-03-01,75.56900000000000
1991-04-01,75.56500000000000
1991-05-01,75.76400000000000
1991-06-01,75.99100000000000
1991-07-01,76.08199999999999
1991-08-01,76.10899999999999
1991-09-01,76.19199999999999
1991-10-01,76.07400000000000
1991-11-01,76.01300000000001
1991-12-01,76.05600000000000
1992-01-01,76.08700000000000
1992-02-01,76.15600000000001
1992-03-01,76.27700000000000
1992-04-01,76.34600000000000
1992-05-01,76.39900000000000
1992-06-01,76.33199999999999
1992-07-01,76.26400000000000
1992-08-01,76.23100000000001
1992-09-01,76.23899999999999
