,DATE,CS_INDEX
237,2023-10-01,313.103
238,2023-11-01,314.015
239,2023-12-01,314.67400000000004
240,2024-01-01,316.10900000000004
241,2024-02-01,317.568
242,2024-03-01,318.55400000000003
243,2024-04-01,319.534
244,2024-05-01,320.508
245,2024-06-01,321.036
246,2024-07-01,321.45
247,2024-08-01,322.277
248,2024-09-01,323.35200000000003
