,DATE,INTEREST_RATES
120,2014-01-01,0.07
121,2014-02-01,0.07
122,2014-03-01,0.08
123,2014-04-01,0.09
124,2014-05-01,0.09
125,2014-06-01,0.1
126,2014-07-01,0.09
127,2014-08-01,0.09
128,2014-09-01,0.09
129,2014-10-01,0.09
130,2014-11-01,0.09
131,2014-12-01,0.12
132,2015-01-01,0.11
133,2015-02-01,0.11
134,2015-03-01,0.11
135,2015-04-01,0.12
136,2015-05-01,0.12
137,2015-06-01,0.13
138,2015-07-01,0.13
139,2015-08-01,0.14
140,2015-09-01,0.14
141,2015-10-01,0.12
142,2015-11-01,0.12
143,2015-12-01,0.24
144,2016-01-01,0.34
145,2016-02-01,0.38
146,2016-03-01,0.36
147,2016-04-01,0.37
148,2016-05-01,0.37
149,2016-06-01,0.38
150,2016-07-01,0.39
151,2016-08-01,0.4
152,2016-09-01,0.4
153,2016-10-01,0.4
154,2016-11-01,0.41
155,2016-12-01,0.54
156,2017-01-01,0.65
157,2017-02-01,0.66
158,2017-03-01,0.79
159,2017-04-01,0.9
160,2017-05-01,0.91
161,2017-06-01,1.04
162,2017-07-01,1.15
163,2017-08-01,1.16
164,2017-09-01,1.15
165,2017-10-01,1.15
166,2017-11-01,1.16
167,2017-12-01,1.3
168,2018-01-01,1.41
169,2018-02-01,1.42
170,2018-03-01,1.51
171,2018-04-01,1.69
172,2018-05-01,1.7
173,2018-06-01,1.82
174,2018-07-01,1.91
175,2018-08-01,1.91
176,2018-09-01,1.95
177,2018-10-01,2.19
178,2018-11-01,2.2
179,2018-12-01,2.27
180,2019-01-01,2.4
181,2019-02-01,2.4
182,2019-03-01,2.41
183,2019-04-01,2.42
184,2019-05-01,2.39
185,2019-06-01,2.38
186,2019-07-01,2.4
187,2019-08-01,2.13
188,2019-09-01,2.04
189,2019-10-01,1.83
190,2019-11-01,1.55
191,2019-12-01,1.55
192,2020-01-01,1.55
193,2020-02-01,1.58
194,2020-03-01,0.65
195,2020-04-01,0.05
196,2020-05-01,0.05
197,2020-06-01,0.08
198,2020-07-01,0.09
199,2020-08-01,0.1
200,2020-09-01,0.09
201,2020-10-01,0.09
202,2020-11-01,0.09
203,2020-12-01,0.09
204,2021-01-01,0.09
205,2021-02-01,0.08
206,2021-03-01,0.07
207,2021-04-01,0.07
208,2021-05-01,0.06
209,2021-06-01,0.08
210,2021-07-01,0.1
211,2021-08-01,0.09
212,2021-09-01,0.08
213,2021-10-01,0.08
214,2021-11-01,0.08
215,2021-12-01,0.08
216,2022-01-01,0.08
217,2022-02-01,0.08
218,2022-03-01,0.2
219,2022-04-01,0.33
220,2022-05-01,0.77
221,2022-06-01,1.21
222,2022-07-01,1.68
223,2022-08-01,2.33
224,2022-09-01,2.56
225,2022-10-01,3.08
226,2022-11-01,3.78
227,2022-12-01,4.1
228,2023-01-01,4.33
229,2023-02-01,4.57
230,2023-03-01,4.65
231,2023-04-01,4.83
232,2023-05-01,5.06
233,2023-06-01,5.08
234,2023-07-01,5.12
235,2023-08-01,5.33
236,2023-09-01,5.33
237,2023-10-01,5.33
238,2023-11-01,5.33
239,2023-12-01,5.33
240,2024-01-01,5.33
241,2024-02-01,5.33
242,2024-03-01,5.33
243,2024-04-01,5.33
244,2024-05-01,5.33
245,2024-06-01,5.33
246,2024-07-01,5.33
247,2024-08-01,5.33
248,2024-09-01,5.13
249,2024-10-01,4.83
250,2024-11-01,4.64
